name,LATITUDE,LONGITUDE
ALEXANDRA HOSPITAL,1.28548113063515,103.800180925291
ANG MO KIO - THYE HUA KWAN HOSPITAL,1.38403248453043,103.840356912641
CHANGI GENERAL HOSPITAL,1.34082588540168,103.949465475853
CRAWFURD HOSPITAL,1.32680246114261,103.8133181768
Changi Medical Facility,1.35803391097495,103.971332451989
FARRER PARK HOSPITAL,1.31247326497726,103.853929522927
GLENEAGLES HOSPITAL,1.30742793134972,103.819605016111
INSTITUTE OF MENTAL HEALTH / WOODBRIDGE HOSPITAL,1.38108234629728,103.88568945812
JURONG COMMUNITY HOSPITAL,1.33468279452255,103.744221815441
KHOO TECK PUAT HOSPITAL,1.42408101896777,103.838578888679
KK WOMEN'S AND CHILDREN'S HOSPITAL,1.31049007454297,103.846813321822
MOUNT ALVERNIA HOSPITAL,1.34181992557522,103.837593773069
MOUNT ELIZABETH HOSPITAL,1.30515487183737,103.835432938979
MOUNT ELIZABETH NOVENA HOSPITAL,1.32214005414322,103.844212383776
NATIONAL HEART CENTRE SINGAPORE,1.27858060263882,103.836119444745
NATIONAL UNIVERSITY HOSPITAL,1.29348864966996,103.782736313263
NG TENG FONG GENERAL HOSPITAL,1.33468279452255,103.744221815441
OUTRAM COMMUNITY HOSPITAL,1.27755741105351,103.835503652773
PARKWAY EAST HOSPITAL,1.31508823314955,103.908756858328
RAFFLES HOSPITAL,1.30118153029229,103.857465501674
REN CI COMMUNITY HOSPITAL,1.32288450061588,103.845973302303
SENGKANG COMMUNITY HOSPITAL,1.39602238851329,103.891834051681
SENGKANG GENERAL HOSPITAL,1.39439308593707,103.893164085542
SINGAPORE GENERAL HOSPITAL,1.27842873315,103.834043063806
ST. ANDREW'S COMMUNITY HOSPITAL,1.34168650589195,103.948799458403
ST. LUKE'S HOSPITAL,1.3496004115257,103.742182351689
TAN TOCK SENG HOSPITAL,1.3206307367432,103.848460300475
TAN TOCK SENG HOSPITAL SUBACUTE WARDS,1.32288450061588,103.845973302303
THOMSON MEDICAL CENTRE,1.32536064372683,103.841457941462
TTSH Integrated Care Hub,1.32354019741371,103.846511000868
Woodlands Health,1.42468138279989,103.794743820418
YISHUN COMMUNITY HOSPITAL,1.42394747570845,103.837429239244
