ADDRESS,LATITUDE,LONGITUDE,POSTAL_CODE
681B woodlands drive 62,1.43932470475883,103.803324088659,732681
264 bishan street 24,1.35865897891792,103.842049817206,570264
520 jelapang road,1.38646757937131,103.7665076,670520
121B edgedale plains,1.39308870276065,103.909041773266,822121
997B buangkok crescent,1.38590156781199,103.881387,532997
377 clementi avenue 5,1.31756398951141,103.767975202583,120377
454 fajar road,1.38450243119902,103.771537431563,670454
92 bedok north avenue 4,1.33244414877355,103.941297978178,460092
168A punggol east,1.39458916861034,103.914238786983,821168
675D yishun avenue 4,1.41973757505546,103.842703126999,764675
453B fernvale road,1.3942988861693,103.875110781799,792453
27 dover crescent,1.30542278278875,103.781320435431,130027
647 punggol central,1.39806307135608,103.915453266532,820647
207 bukit batok street 21,1.34624866176031,103.749382188265,650207
513 woodlands drive 14,1.43386698574021,103.789472977537,730513
228B compassvale walk,1.38796200657488,103.90137391797,542228
128 pasir ris street 11,1.36607200208533,103.955614245139,510128
138B lorong 1a toa payoh,1.33626408939965,103.845626191384,312138
571C woodlands avenue 1,1.43037573758391,103.789927860576,733571
338 ubi avenue 1,1.32613973623742,103.902073613523,400338
323D sumang walk,1.41218811745694,103.897455703032,824323
272D punggol walk,1.40273347530835,103.90046347534,824272
408C fernvale road,1.38924471342298,103.876556317593,793408
266A punggol way,1.40596071590593,103.897970713861,821266
342C yishun ring road,1.42991891753486,103.844367469818,763342
28 ghim moh link,1.30887985026284,103.784802916649,270028
134 potong pasir avenue 3,1.33447489186627,103.866286539376,350134
181 bedok north road,1.32668601317692,103.941272008827,460181
51 lorong 6 toa payoh,1.33778337648439,103.852507455855,310051
429A yishun avenue 11,1.42209731725453,103.849560369299,761429
846 tampines street 82,1.35215736918662,103.935923497654,520846
45 telok blangah drive,1.27175707090153,103.809560438327,100045
924 hougang avenue 9,1.37629501553762,103.882146024079,530924
337 bukit batok street 34,1.36348296381773,103.749393361059,650337
465 ang mo kio avenue 10,1.3662010408294,103.857200967235,560465
119A canberra crescent,1.44604755101014,103.831125256006,751119
472 ang mo kio avenue 10,1.36314392666998,103.858118593427,560472
118C jalan membina,1.2821693708226,103.826333715085,163118
101 ang mo kio avenue 3,1.37026158388486,103.839467898898,560101
341 bukit batok street 34,1.36280451951487,103.749157203985,650341
803C keat hong close,1.37338731917488,103.744026034489,683803
649B jurong west street 61,1.33796673439806,103.698122457656,642649
462 clementi avenue 3,1.31109876019725,103.765906379277,120462
862 tampines street 83,1.35468486241786,103.936502887927,520862
205 marsiling drive,1.4449461460443,103.773484126567,730205
231 compassvale walk,1.38953316865049,103.901395398008,540231
201 toa payoh north,1.34113803607795,103.850126597142,310201
818A choa chu kang avenue 1,1.37762936263123,103.748488766609,681818
285 tampines street 22,1.35001074194263,103.952816059954,520285
160 woodlands street 13,1.43333328424957,103.774921567416,730160
157D rivervale crescent,1.38808661373417,103.907889077676,544157
61 telok blangah heights,1.27570500784019,103.812007084346,100061
184A woodlands street 13,1.43611569878667,103.777087417647,731184
312A anchorvale lane,1.39173374169872,103.885155624264,541312
116B jalan tenteram,1.32754908001444,103.860807411661,322116
812 tampines avenue 4,1.34695403231693,103.937332877241,520812
485 jurong west avenue 1,1.3483471084985,103.727243025871,640485
425 bedok north road,1.32936960154503,103.929067536324,460425
105 simei street 1,1.34092459427981,103.950742498791,520105
68 geylang bahru,1.32195385488883,103.869843391813,330068
606 yishun street 61,1.42133417332717,103.836318252115,760606
842 woodlands street 82,1.44343770450452,103.792255388168,730842
325 sembawang crescent,1.44450474363115,103.818706030955,750325
122 paya lebar way,1.32260037517198,103.882463203575,381122
242 hougang street 22,1.35738897663765,103.892167860466,530242
581 pasir ris street 53,1.37494172826975,103.946619114452,510581
914 tampines street 91,1.34902777063214,103.939568394541,520914
91 paya lebar way,1.32268116095086,103.886737921495,370091
588C ang mo kio street 52,1.37183157010083,103.853670978083,563588
64 kallang bahru,1.32034663718702,103.86834750594,330064
167 stirling road,1.29003092983174,103.80260432134,140167
373 hougang street 31,1.36268196108362,103.890391265295,530373
26B saint george's lane,1.32166862124903,103.862717909816,322026
502 bedok north street 3,1.331245062,103.931244293846,460502
574 choa chu kang street 52,1.39441490205275,103.745142689272,680574
523 jelapang road,1.38697502782658,103.765700895316,670523
210 choa chu kang central,1.38252550607593,103.747937128636,680210
187 boon lay avenue,1.34505773588933,103.710699802755,640187
63 kallang bahru,1.32100020851204,103.868321383856,330063
133 edgedale plains,1.39283155421467,103.910620119955,820133
